configuration,network,browser.protocol,setup,load.time,protocol,browser,Total size,# of images
3,1.3MB/s-35ms,HTTP/2 - Chrome,individual-80%,0.612,HTTP/2,Chrome,94,57
1,80MB/s-10ms,HTTP/1.1 - Firefox,sprite set,0.1155,HTTP/1.1,Firefox,70,1
1,80MB/s-10ms,HTTP/1.1 - Chrome,sprite set,0.0785,HTTP/1.1,Chrome,70,1
1,80MB/s-10ms,HTTP/2 - Firefox,sprite set,0.105,HTTP/2,Firefox,70,1
1,80MB/s-10ms,HTTP/2 - Chrome,sprite set,0.081,HTTP/2,Chrome,70,1
2,20MB/s-40ms,HTTP/1.1 - Firefox,sprite set,0.052,HTTP/1.1,Firefox,70,1
2,20MB/s-40ms,HTTP/1.1 - Chrome,sprite set,0.046,HTTP/1.1,Chrome,70,1
2,20MB/s-40ms,HTTP/2 - Firefox,sprite set,0.0515,HTTP/2,Firefox,70,1
2,20MB/s-40ms,HTTP/2 - Chrome,sprite set,0.046,HTTP/2,Chrome,70,1
3,1.3MB/s-35ms,HTTP/1.1 - Firefox,sprite set,0.057,HTTP/1.1,Firefox,70,1
3,1.3MB/s-35ms,HTTP/1.1 - Chrome,sprite set,0.051,HTTP/1.1,Chrome,70,1
3,1.3MB/s-35ms,HTTP/2 - Firefox,sprite set,0.055,HTTP/2,Firefox,70,1
3,1.3MB/s-35ms,HTTP/2 - Chrome,sprite set,0.047,HTTP/2,Chrome,70,1
